bldg,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG D,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG E,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG F,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG G,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG I,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG J,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG K,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG L,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG M,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG O,,,,,,,,
KAUIOKAHALOA NUI FAC APT - BLDG Q,,,,,,,,
KAUIOKAHALOA NUI FAC APT AH - BLDG  H,,,,,,,,
KAUIOKAHALOA NUI FAC APT AH - BLDG C,,,,,,,,
KAUIOKAHALOA NUI FAC APT AH - BLDG N,,,,,,,,
KAUIOKAHALOA NUI FAC APT AH - BLDG P,,,,,,,,
KAUIOKAHALOA NUI FAC MGRS OFFICE,,,,,,,,
KELLER HALL,,,,,,,,
KELLER KIOSK,,,,,,,,
KENNEDY THEATRE,,,,,,,,
KLUM ANNEX 2 - ATHLETIC LETTERWINNERS CLUB,,,,,,,,
"KOREAN STUDIES PAVILLION, CENTER FOR",,,,,,,,
"KOREAN STUDIES, CENTER FOR",,,,,,,,
KRAUSS ANNEX 19 - ENVIRONMENTAL CENTER,,,,,,,,
KRAUSS ANNEX 7 - CTAHR,,,,,,,,
KRAUSS HALL,,,,,,,,
KRAUSS HALL PRI BUILDING 1,,,,,,,,
KRAUSS HALL PRI BUILDING 2,,,,,,,,
KRAUSS HALL PRI BUILDING 3 - PHYSICS ANITA LAB,,,,,,,,
KUYKENDALL ANNEX - CTAHR,,,,,,,,
KUYKENDALL HALL,,,,,,,,
KUYKENDALL MECHANICAL BUILDING,,,,,,,,
LAW LIBRARY,,,,,,,,
LAW SCHOOL,,,,,,,,
LES MURAKAMI STADIUM,,,,,,,,
LINCOLN HALL,,,,,,,,
LINCOLN HALL ANNEX 1,,,,,,,,
LINCOLN HALL ANNEX 2,,,,,,,,
LOWER CAMPUS 1 - PAYROLL,,,,,,,,
LOWER CAMPUS 2 - HELP,,,,,,,,
LOWER CAMPUS 3 - HELP,,,,,,,,
LOWER CAMPUS 4 - HELP,,,,,,,,
LOWER CAMPUS PARKING STRUCTURE - PHASE I (LOT 20),,,,,,,,
LOWER CAMPUS PARKING STRUCTURE - PHASE II,,,,,,,,
LUNALILO BUILDING 1,,,,,,,,
LUNALILO BUILDING 2,,,,,,,,
MAGOON FIELD LABORATORY - PEPS,,,,,,,,
MAGOON GREENHOUSE 1 - TPSS,,,,,,,,
MAGOON GREENHOUSE 10 - TPSS,,,,,,,,
MAGOON GREENHOUSE 11 - TPSS,,,,,,,,
MAGOON GREENHOUSE 12 - TPSS,,,,,,,,
MAGOON GREENHOUSE 2 - TPSS,,,,,,,,
MAGOON GREENHOUSE 3 - TPSS,,,,,,,,
MAGOON GREENHOUSE 4 - TPSS,,,,,,,,
MAGOON GREENHOUSE 5 - TPSS,,,,,,,,
MAGOON GREENHOUSE 6 - TPSS,,,,,,,,
MAGOON GREENHOUSE 7 - TPSS,,,,,,,,
MAGOON GREENHOUSE 8 - TPSS,,,,,,,,
MAGOON GREENHOUSE 9 - NREM,,,,,,,,
MAGOON HEADHOUSE - TPSS,,,,,,,,
MAGOON SOIL LABORATORY - NREM,,,,,,,,
MAGOON STORAGE SHED - TPSS,,,,,,,,
MAILE WAY BUILDING 2,,,,,,,,
MAILE-EAST BUILDING A,,,,,,,,
MAILE-EAST BUILDING B,,,,,,,,
MAINTENANCE GARAGE AND STORAGE,,,,,,,,
MAINTENANCE SHOP STORAGE,,,,,,,,
MAINTENANCE SHOPS,,,,,,,,
MAINTENANCE STORAGE,,,,,,,,
MAINTENANCE WAREHOUSE (HALE UKANA),,,,,,,,
MAINTENANCE WAREHOUSE ANNEX,,,,,,,,
MAKAI CAMPUS 10 - ARMY ROTC 2,,,,,,,,
MAKAI CAMPUS 11 - AIR FORCE ROTC 3,,,,,,,,
MAKAI CAMPUS 12 - ARMY ROTC 3,,,,,,,,
MAKAI CAMPUS 13 - HELP,,,,,,,,
MAKAI CAMPUS 14 - HELP,,,,,,,,
MAKAI CAMPUS 15 - INTERNAL AUDIT,,,,,,,,
MAKAI CAMPUS 16 - HELP,,,,,,,,
MALAMA 1 - ENVIRONMENTAL HEALTH AND SAFETY OFFICE,,,,,,,,
MALAMA 2 - ENVIRONMENTAL HEALTH AND SAFETY OFFICE,,,,,,,,
MALAMA 3 - DIVE SAFETY,,,,,,,,
MALAMA 4 - DIVE SAFETY,,,,,,,,
MARINE SCIENCES BUILDING,,,,,,,,
MARINE SCIENCES MECHANICAL BUILDING,,,,,,,,
MID PAC POTTING HOUSE,,,,,,,,
MILLER HALL,,,,,,,,
MOORE HALL,,,,,,,,
MUSIC COMPLEX PHASE 1 (1959),,,,,,,,
MUSIC COMPLEX PHASE 2 (1975),,,,,,,,
ORVIS AUDITORIUM,,,,,,,,
OTTO KLUM GYMNASIUM,,,,,,,,
PACIFIC BIOSCIENCE RESEARCH CENTER (PBRC),,,,,,,,
PACIFIC OCEAN SCIENCE & TECHNOLOGY (POST),,,,,,,,
PACIFIC OCEAN SCIENCE & TECHNOLOGY (POST) MECHANICAL BUILDING,,,,,,,,
PAMOA BUILDING A - POPULATION GENETICS,,,,,,,,
PAMOA BUILDING B - CAMPUS SECURITY,,,,,,,,
"PAMOA BUILDING C - FIRE SAFETY OFFICE, RELOCATABLE",,,,,,,,
PARADISE PALMS CAFE,,,,,,,,
PARKING KIOSK - ARCHITECTURE LOT 2,,,,,,,,
PARKING KIOSK - BACHMAN LOT 12,,,,,,,,
PARKING KIOSK - DOLE ST 1,,,,,,,,
PARKING KIOSK - DOLE ST 2,,,,,,,,
PARKING KIOSK - DOLE ST 3,,,,,,,,
PARKING KIOSK - EAST WEST RD,,,,,,,,
PARKING KIOSK - MAILE WAY,,,,,,,,
PARKING KIOSK - VARSITY CIRCLE,,,,,,,,
PARKING KIOSK - WAIALAE AVE 1,,,,,,,,
PARKING KIOSK - WAIALAE AVE 2,,,,,,,,
PARKING KIOSK - WAIALAE AVE 3,,,,,,,,
PHYSICAL EDUCATION/ATHLETIC COMPLEX (HPER),,,,,,,,
PHYSICAL PLANT BUILDING,,,,,,,,
PHYSICAL PLANT BUILDING 1,,,,,,,,
PHYSICAL PLANT BUILDING 2,,,,,,,,
PHYSICAL SCIENCE BUILDING,,,,,,,,
POPE LABORATORY,,,,,,,,
PRACTICE FIELD - EQUIPMENT STORAGE,,,,,,,,
QUADRANGLE LOOP BUILDING,,,,,,,,
QUEEN LILIUOKALANI CENTER FOR STUDENT SERVICES,,,,,,,,
RAINBOW WAHINE SOFTBALL STADIUM,,,,,,,,
RAINBOW WAHINE SOFTBALL STADIUM - BATTING CAGE,,,,,,,,
RAINBOW WAHINE SOFTBALL STADUIM - RESTROOM FACILITIES,,,,,,,,
SAKAMAKI HALL,,,,,,,,
SAUNDERS HALL,,,,,,,,
SHERMAN LABORATORY,,,,,,,,
SINCLAIR ANNEX 1,,,,,,,,
SINCLAIR ANNEX 2,,,,,,,,
SINCLAIR LIBRARY,,,,,,,,
SMALL ANIMAL CARE FACILITY,,,,,,,,
SNYDER HALL,,,,,,,,
SPALDING HALL,,,,,,,,
ST. JOHN PLANT SCIENCE LABORATORY 1,,,,,,,,
ST. JOHN PLANT SCIENCE LABORATORY 2,,,,,,,,
ST. JOHN TRANSFORMER VAULT 1,,,,,,,,
STAN SHERIFF CENTER,,,,,,,,
THAI PAVILION,,,,,,,,
TRANSPORTATION SERVICES - AUTO MAINT/STORAGE,,,,,,,,
TRANSPORTATION SERVICES - COVERED EXTENSION WORK AREA,,,,,,,,
TRANSPORTATION SERVICES - OFFICE,,,,,,,,
TRANSPORTATION SERVICES - PRE-FAB BUILDING,,,,,,,,
TRANSPORTATION SERVICES - SERVICE STATION (GAS PUMPS),,,,,,,,
UH CANCER CENTER FREEZER FACILITY,,,,,,,,
UNIVERSITY AVENUE BUILDING 1,,,,,,,,
UNIVERSITY AVENUE BUILDING 2,,,,,,,,
UNIVERSITY AVENUE BUILDING 3,,,,,,,,
UNIVERSITY AVENUE BUILDING 4,,,,,,,,
UNIVERSITY HEALTH SERVICES,,,,,,,,
UNIVERSITY HIGH SCHOOL 1,,,,,,,,
UNIVERSITY HIGH SCHOOL 2,,,,,,,,
UNIVERSITY HIGH SCHOOL 3 - CLASSROOM BUILDING,,,,,,,,
UNIVERSITY LAB SCHOOL - LOCKER BUILDING,,,,,,,,
UNIVERSITY LAB SCHOOL - MULTIPURPOSE BUILDING,,,,,,,,
UNIVERSITY LAB SCHOOL - PORTABLE 1,,,,,,,,
UNIVERSITY LAB SCHOOL - PORTABLE 2,,,,,,,,
UNIVERSITY LAB SCHOOL - PORTABLE 3,,,,,,,,
UNIVERSITY LAB SCHOOL - PORTABLE 4,,,,,,,,
VARSITY ANNEX 1 - NA KOA FOOTBALL BOOSTERS ORGANIZATION,,,,,,,,
VARSITY BUILDING A - FINANCIAL MANAGEMENT OFFICE,,,,,,,,
VARSITY BUILDING B - FINANCIAL MANAGEMENT OFFICE,,,,,,,,
VARSITY BUILDING C - FINANCIAL MANAGEMENT OFFICE,,,,,,,,
VARSITY BUILDING E,,,,,,,,
VARSITY BUILDING F - CENTER FOR DISABILITY SERVICES,,,,,,,,
VARSITY BUILDING G - FINANCIAL MANAGEMENT OFFICE,,,,,,,,
VARSITY BUILDING H - FINANCIAL MANAGEMENT OFFICE,,,,,,,,
VARSITY BUILDING L,,,,,,,,
VARSITY BUILDING M,,,,,,,,
VARSITY BUILDING N,,,,,,,,
VARSITY BUILDING P,,,,,,,,
WAAHILA FACULTY HOUSING BUILDING A,,,,,,,,
WAAHILA FACULTY HOUSING BUILDING B,,,,,,,,
WAAHILA FACULTY HOUSING BUILDING C,,,,,,,,
WAAHILA FACULTY HOUSING BUILDING D,,,,,,,,
WAAHILA FACULTY HOUSING BUILDING E,,,,,,,,
WARRIOR RECREATION CENTER,,,,,,,,
WARRIOR RECREATION CENTER ANNEX,,,,,,,,
WATANABE HALL,,,,,,,,
WEBSTER HALL,,,,,,,,
WIST HALL,,,,,,,,
WIST HALL ANNEX 1,,,,,,,,
WOODLAWN 1 - EDITORIAL,,,,,,,,
WOODLAWN 2 - MARKETING,,,,,,,,
WOODLAWN 3 - JOURNALS,,,,,,,,
WOODLAWN 4 - ADMINISTRATION,,,,,,,,
WOODLAWN 5 - WAREHOUSE,,,,,,,,
WOODLAWN 6 - PRODUCTION,,,,,,,,
WOODLAWN 7 - BUSINESS,,,,,,,,
WOODLAWN H,,,,,,,,
ZONE 01 PARKING LOT,,,,,,,,
ZONE 02 PARKING LOT,,,,,,,,
ZONE 03 PARKING LOT,,,,,,,,
ZONE 04 PARKING LOT,,,,,,,,
